1714.00 CONN 11 12 down
1714.00 CONN 13 1 down
1715.00 CONN 18 3 down
1719.00 CONN 7 16 down
1719.00 CONN 9 17 down
1719.00 CONN 13 7 down
1720.00 CONN 18 1 down
1720.00 CONN 18 1 down
1720.00 CONN 9 1 down
1720.00 CONN 1 9 down
1721.00 CONN 20 24 up
1721.00 CONN 20 24 down
1721.00 CONN 20 24 up
1721.00 CONN 20 24 down
1721.00 CONN 20 24 up
1721.00 CONN 20 24 down
1721.00 CONN 21 20 up
1721.00 CONN 21 20 up
1721.00 CONN 21 20 down
1721.00 CONN 21 20 up
1721.00 CONN 21 20 down
1721.00 CONN 21 20 up
1721.00 CONN 21 20 up
1721.00 CONN 21 20 down
1721.00 CONN 21 20 up
1721.00 CONN 21 20 down
1721.00 CONN 21 20 up
1721.00 CONN 21 20 down
1721.00 CONN 21 20 up
1721.00 CONN 21 20 down
1721.00 CONN 21 20 up
1721.00 CONN 21 20 down
1721.00 CONN 21 20 up
1721.00 CONN 21 20 down
1721.00 CONN 21 20 up
1721.00 CONN 21 20 down
1722.00 CONN 21 20 up
1722.00 CONN 21 20 down
1724.00 CONN 3 16 down
1724.00 CONN 13 1 down
1724.00 CONN 16 18 down
1725.00 CONN 23 21 up
1726.00 CONN 13 7 down
1726.00 CONN 13 17 down
1727.00 CONN 1 7 down
1730.00 CONN 13 23 up
1732.00 CONN 19 5 down
1733.00 CONN 18 5 down
1740.00 CONN 18 1 down
1740.00 CONN 1 11 down
1748.00 CONN 14 23 up
1748.00 CONN 14 23 down
1756.00 CONN 14 8 up
1756.00 CONN 14 8 down
1760.00 CONN 3 7 down
1760.00 CONN 9 0 down
1760.00 CONN 9 1 down
1761.00 CONN 21 20 down
1761.00 CONN 7 20 up
1761.00 CONN 7 20 down
1761.00 CONN 4 14 up
1766.00 CONN 4 7 down
1767.00 CONN 1 7 down
1768.00 CONN 18 19 down
1769.00 CONN 9 7 down
1770.00 CONN 1 12 down
1773.00 CONN 1 7 down
1774.00 CONN 5 3 up
1774.00 CONN 5 3 up
1774.00 CONN 5 8 up
1774.00 CONN 5 3 up
1774.00 CONN 5 8 up
1774.00 CONN 5 8 up
1774.00 CONN 5 3 up
1774.00 CONN 5 3 down
1774.00 CONN 5 13 up
1774.00 CONN 5 20 up
1774.00 CONN 5 20 down
1774.00 CONN 5 20 up
1774.00 CONN 5 21 up
1774.00 CONN 5 13 up
1774.00 CONN 5 3 up
1774.00 CONN 5 13 up
1774.00 CONN 5 13 up
1774.00 CONN 5 3 up
1780.00 CONN 5 20 down
1781.00 CONN 4 14 down
1787.00 CONN 5 21 down
1793.00 CONN 1 7 down
